Panel,File_Identification,Schedule,Quarter,Visit,Sector,State_UT_Code,District_Code,NSS_Region,Stratum,Sub_Stratum,Sub_Sample,FOD_Sub_Region,FSU,Sample_Sg_Sb_No,Second_Stage_Stratum_No,Sample_Household_Number,Person_Serial_No,Relationship_To_Head,Sex,Age,Marital_Status,General_Education_Level,Technical_Education_Level,Years_Formal_Education,Current_Attendance_Status,Vocational_Training,Training_Completed_365_Days,Field_Of_Training,Duration_Of_Training,Type_Of_Training,Training_Funding_Source,Principal_Status_Code,Principal_Industry_Code,Principal_Occupation_Code,Subsidiary_Work_Engagement,Principal_Workplace_Location,Principal_Enterprise_Type,Principal_Workers_Count,Principal_Job_Contract_Type,Principal_Paid_Leave,Principal_Social_Security,Principal_Product_Usage,Subsidiary_Status_Code,Subsidiary_Industry_Code,Subsidiary_Occupation_Code,Subsidiary_Workplace_Location,Subsidiary_Enterprise_Type,Subsidiary_Workers_Count,Subsidiary_Job_Contract_Type,Subsidiary_Paid_Leave,Subsidiary_Social_Security,Subsidiary_Product_Usage,Ever_Worked_365_Days,Principal_Duration,Subsidiary_Duration,Work_Search_Efforts,Unemployment_Duration,Ever_Worked,Reason_Not_Working,Main_Reason_Principal_Status,Day7_Act1_Status_Code,Day7_Act1_Industry_Code,Day7_Act1_Hours,Day7_Act1_Wage,Day7_Act2_Status_Code,Day7_Act2_Industry_Code,Day7_Act2_Hours,Day7_Act2_Wage,Day7_Total_Hours,Day7_Additional_Work_Hours,Day6_Act1_Status_Code,Day6_Act1_Industry_Code,Day6_Act1_Hours,Day6_Act1_Wage,Day6_Act2_Status_Code,Day6_Act2_Industry_Code,Day6_Act2_Hours,Day6_Act2_Wage,Day6_Total_Hours,Day6_Additional_Work_Hours,Day5_Act1_Status_Code,Day5_Act1_Industry_Code,Day5_Act1_Hours,Day5_Act1_Wage,Day5_Act2_Status_Code,Day5_Act2_Industry_Code,Day5_Act2_Hours,Day5_Act2_Wage,Day5_Total_Hours,Day5_Additional_Work_Hours,Day4_Act1_Status_Code,Day4_Act1_Industry_Code,Day4_Act1_Hours,Day4_Act1_Wage,Day4_Act2_Status_Code,Day4_Act2_Industry_Code,Day4_Act2_Hours,Day4_Act2_Wage,Day4_Total_Hours,Day4_Additional_Work_Hours,Day3_Act1_Status_Code,Day3_Act1_Industry_Code,Day3_Act1_Hours,Day3_Act1_Wage,Day3_Act2_Status_Code,Day3_Act2_Industry_Code,Day3_Act2_Hours,Day3_Act2_Wage,Day3_Total_Hours,Day3_Additional_Work_Hours,Day2_Act1_Status_Code,Day2_Act1_Industry_Code,Day2_Act1_Hours,Day2_Act1_Wage,Day2_Act2_Status_Code,Day2_Act2_Industry_Code,Day2_Act2_Hours,Day2_Act2_Wage,Day2_Total_Hours,Day2_Additional_Work_Hours,Day1_Act1_Status_Code,Day1_Act1_Industry_Code,Day1_Act1_Hours,Day1_Act1_Wage,Day1_Act2_Status_Code,Day1_Act2_Industry_Code,Day1_Act2_Hours,Day1_Act2_Wage,Day1_Total_Hours,Day1_Additional_Work_Hours,CWS_Status_Code,CWS_Industry_Code,CWS_Occupation_Code,CWS_Earnings_Salaried,CWS_Earnings_SelfEmployed,Ns_Count_Sector_Stratum_Substratum_Subsample,Ns_Count_Sector_Stratum_Substratum,Subsample_Multiplier,State_Sector_Stratum_Substra
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,01,01,1,1,35,2,08,01,10,,6,,,,,,31,84119,335,1,16,05,3,4,1,8,,11,01286,611,,01,1,,,,3,1,5,5,,,,,,31,84, 8,    0,,, 0,    0, 8, 0,31,84,8,0,11,01,2,0,10,0,31,84,8,0,11,01,2,0,10,0,72,84,8,0,11,01,8,0,8,0,31,84,8,0,11,01,2,0,10,0,31,84,8,0,,,0,0,8,0,31,84,8,0,11,01,2,0,10,0,31,84,335,9500,0,1,2,1204376,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,01,02,2,2,33,2,08,01,10,,6,,,,,,21,01286,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,6,0,,,0,0,6,0,21,01,7,0,,,0,0,7,0,21,01,5,0,,,0,0,5,0,21,01,7,0,,,0,0,7,0,21,01,8,0,,,0,0,8,0,21,01,6,0,,,0,0,6,0,21,01,611,0,0,1,2,1204376,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,02,01,1,1,36,2,10,01,12,,6,,,,,,11,01286,611,1,,01,1,,,,3,11,49219,832,19,01,1,,,,,1,5,5,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,7,0,,,0,0,7,0,62,01,7,0,11,49,8,0,8,0,11,01,6,0,11,49,4,0,10,0,11,01,8,0,,,0,0,8,0,11,01,6,0,11,49,4,0,10,0,11,01,9,0,,,0,0,9,0,11,01,611,0,16500,1,2,1204376,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,02,02,2,2,34,2,10,01,12,,6,,,,,,31,86904,531,1,16,05,4,4,1,5,,21,01286,611,,01,1,,,,3,1,5,5,,,,,,31,86, 8,    0,,, 0,    0, 8, 0,31,86,8,0,,,0,0,8,0,31,86,8,0,,,0,0,8,0,72,86,8,0,21,01,8,0,8,0,31,86,8,0,21,01,2,0,10,0,31,86,8,0,,,0,0,8,0,31,86,8,0,,,0,0,8,0,31,86,531,11500,0,1,2,1204376,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,02,03,5,2,12,1,06,01,6,25,6,,,,,,91,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,4,91,, 0,    0,,, 0,    0, 0, 0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,,0,0,1,2,1204376,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,1,02,04,5,2,10,1,06,01,5,25,,,,,,,91,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,4,91,, 0,    0,,, 0,    0, 0, 0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,,0,0,1,2,1204376,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,01,01,1,1,32,2,08,01,10,,6,,,,,,11,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,11,01, 8,    0,,, 0,    0, 8, 0,11,01,7,0,,,0,0,7,0,11,01,9,0,,,0,0,9,0,62,01,8,0,,,0,0,0,0,11,01,8,0,,,0,0,8,0,11,01,7,0,,,0,0,7,0,11,01,9,0,,,0,0,9,0,11,01,611,0,15000,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,01,04,7,1,58,2,01,01,0,,6,,,,,,21,01272,611,1,,01,1,,,,3,41,42204,931,16,05,4,1,2,8,,1,5,1,,,,,,21,01, 8,    0,,, 0,    0, 8, 0,21,01,7,0,,,0,0,7,0,21,01,6,0,,,0,0,6,0,21,01,7,0,,,0,0,7,0,62,01,8,0,,,0,0,0,0,21,01,8,0,,,0,0,8,0,21,01,8,0,,,0,0,8,0,21,01,611,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,01,02,2,2,25,2,05,01,3,14,6,,,,,,92,,,2,,,,,,,,,,,,,,,,,,,,,,,1,06,7,92,, 0,    0,,, 0,    0, 0, 0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,0,0,,,0,0,0,0,92,,,0,0,1,2,1304741,4
P4,CFVP4,104,Q3,V1,1,28,20,281,01,01,1,2822,12121,1,2,01,03,5,2,5,1,01,01,0,23,,,,,,,91,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,4,91,, 0,    0,,, 0,    0, 0, 0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,0,0,,,0,0,0,0,91,,,0,0,1,2,1304741,4
