Survey_Name,Year,Sector,State_Code,NSS_Region,District_Code,Household_ID,Multiplier
HCES,2024,1,1,12,6,1,16669
HCES,2024,1,1,12,6,1,24840
HCES,2024,1,1,12,6,2,24840
HCES,2024,1,1,12,6,3,24840
HCES,2024,1,1,12,6,4,24840
HCES,2024,1,1,12,6,5,24840
HCES,2024,1,1,12,6,6,24840
HCES,2024,1,1,12,6,7,24840
HCES,2024,1,1,12,6,8,24840
HCES,2024,1,1,12,6,9,24840
HCES,2024,1,1,12,6,10,24840
HCES,2024,1,1,12,6,11,24840
HCES,2024,1,1,12,6,12,24840
HCES,2024,1,1,12,6,13,24840
HCES,2024,1,1,12,6,14,24840
HCES,2024,1,1,12,6,15,24840
HCES,2024,1,1,12,6,16,24840
HCES,2024,1,1,12,6,17,24840
HCES,2024,1,1,12,6,1,17286
HCES,2024,1,1,12,6,2,17286
HCES,2024,1,1,12,6,3,17286
HCES,2024,1,1,12,6,4,17286
HCES,2024,1,1,12,6,5,17286
HCES,2024,1,1,12,6,6,17286
HCES,2024,1,1,12,6,7,17286
HCES,2024,1,1,12,6,8,17286
HCES,2024,1,1,12,6,9,17286
HCES,2024,1,1,12,6,10,17286
HCES,2024,1,1,12,6,11,17286
HCES,2024,1,1,12,6,12,17286
HCES,2024,1,1,12,6,13,17286
HCES,2024,1,1,12,6,14,17286
HCES,2024,1,1,12,6,15,17286
HCES,2024,1,1,12,6,16,17286
HCES,2024,1,1,12,6,17,17286
HCES,2024,1,1,12,6,18,17286
HCES,2024,1,1,12,5,1,25188
HCES,2024,1,1,12,5,2,25188
HCES,2024,1,1,12,5,3,25188
HCES,2024,1,1,12,5,4,25188
HCES,2024,1,1,12,5,5,25188
HCES,2024,1,1,12,5,6,25188
HCES,2024,1,1,12,5,7,25188
HCES,2024,1,1,12,5,8,25188
HCES,2024,1,1,12,5,9,25188
HCES,2024,1,1,12,5,10,25188
HCES,2024,1,1,12,5,11,25188
HCES,2024,1,1,12,5,12,25188
HCES,2024,1,1,12,5,13,25188
HCES,2024,1,1,12,5,14,25188
HCES,2024,1,1,12,5,15,25188
HCES,2024,1,1,12,5,16,25188
HCES,2024,1,1,12,5,17,25188
HCES,2024,1,1,12,5,18,25188
HCES,2024,1,1,12,5,1,38894
HCES,2024,1,1,12,5,2,38894
HCES,2024,1,1,12,5,1,24448
HCES,2024,1,1,12,5,2,24448
HCES,2024,1,1,12,5,3,24448
HCES,2024,1,1,12,5,4,24448
HCES,2024,1,1,12,5,5,24448
HCES,2024,1,1,12,5,6,24448
HCES,2024,1,1,12,5,7,24448
HCES,2024,1,1,12,5,8,24448
HCES,2024,1,1,12,5,9,24448
HCES,2024,1,1,12,5,10,24448
HCES,2024,1,1,12,5,11,24448
HCES,2024,1,1,12,5,12,24448
HCES,2024,1,1,12,5,13,24448
HCES,2024,1,1,12,5,14,24448
HCES,2024,1,1,12,5,15,24448
HCES,2024,1,1,12,5,16,24448
HCES,2024,1,1,12,6,1,24201
HCES,2024,1,1,12,6,2,24201
HCES,2024,1,1,12,6,3,24201
HCES,2024,1,1,12,6,4,24201
HCES,2024,1,1,12,6,5,24201
HCES,2024,1,1,12,6,6,24201
HCES,2024,1,1,12,6,7,24201
HCES,2024,1,1,12,6,8,24201
HCES,2024,1,1,12,6,9,24201
HCES,2024,1,1,12,6,10,24201
HCES,2024,1,1,12,6,11,24201
HCES,2024,1,1,12,6,12,24201
HCES,2024,1,1,12,6,13,24201
HCES,2024,1,1,12,6,14,24201
HCES,2024,1,1,12,6,15,24201
HCES,2024,1,1,12,6,16,24201
HCES,2024,1,1,12,6,17,24201
HCES,2024,1,1,12,6,18,24201
HCES,2024,1,1,11,21,1,23614
HCES,2024,1,1,11,21,2,23614
HCES,2024,1,1,11,21,3,23614
HCES,2024,1,1,11,21,4,23614
HCES,2024,1,1,11,21,1,20320
HCES,2024,1,1,11,21,2,20320
HCES,2024,1,1,11,21,3,20320
HCES,2024,1,1,11,21,4,20320
HCES,2024,1,1,11,21,5,20320
HCES,2024,1,1,11,21,6,20320
HCES,2024,1,1,11,21,7,20320
HCES,2024,1,1,11,21,8,20320
HCES,2024,1,1,11,21,9,20320
HCES,2024,1,1,11,21,10,20320
HCES,2024,1,1,11,21,11,20320
HCES,2024,1,1,11,21,12,20320
HCES,2024,1,1,11,21,13,20320
HCES,2024,1,1,11,21,14,20320
HCES,2024,1,1,12,5,1,16669
HCES,2024,1,1,12,5,1,25886
HCES,2024,1,1,12,5,2,25886
HCES,2024,1,1,12,5,3,25886
HCES,2024,1,1,12,5,4,25886
HCES,2024,1,1,12,5,5,25886
HCES,2024,1,1,12,5,6,25886
HCES,2024,1,1,12,5,7,25886
HCES,2024,1,1,12,5,8,25886
HCES,2024,1,1,12,5,9,25886
HCES,2024,1,1,12,5,10,25886
HCES,2024,1,1,12,5,11,25886
HCES,2024,1,1,12,5,12,25886
HCES,2024,1,1,12,5,13,25886
HCES,2024,1,1,12,5,14,25886
HCES,2024,1,1,12,5,15,25886
HCES,2024,1,1,12,5,16,25886
HCES,2024,1,1,12,5,17,25886
HCES,2024,1,1,12,5,1,21484
HCES,2024,1,1,12,5,2,21484
HCES,2024,1,1,12,5,3,21484
HCES,2024,1,1,12,5,4,21484
HCES,2024,1,1,12,5,5,21484
HCES,2024,1,1,12,5,6,21484
HCES,2024,1,1,12,5,7,21484
HCES,2024,1,1,12,5,8,21484
HCES,2024,1,1,12,5,9,21484
HCES,2024,1,1,12,5,10,21484
HCES,2024,1,1,12,5,11,21484
HCES,2024,1,1,12,5,12,21484
HCES,2024,1,1,12,5,13,21484
HCES,2024,1,1,12,5,14,21484
HCES,2024,1,1,12,5,15,21484
HCES,2024,1,1,12,5,16,21484
HCES,2024,1,1,12,5,17,21484
HCES,2024,1,1,12,5,18,21484
HCES,2024,1,1,11,21,1,192686
HCES,2024,1,1,11,21,1,177967
HCES,2024,1,1,11,21,2,177967
HCES,2024,1,1,11,21,3,177967
HCES,2024,1,1,11,21,1,117217
HCES,2024,1,1,11,21,2,117217
HCES,2024,1,1,11,21,3,117217
HCES,2024,1,1,11,21,4,117217
HCES,2024,1,1,11,21,5,117217
HCES,2024,1,1,11,21,6,117217
HCES,2024,1,1,11,21,7,117217
HCES,2024,1,1,11,21,8,117217
HCES,2024,1,1,11,21,9,117217
HCES,2024,1,1,11,21,10,117217
HCES,2024,1,1,11,21,11,117217
HCES,2024,1,1,11,21,12,117217
HCES,2024,1,1,11,21,13,117217
HCES,2024,1,1,11,21,14,117217
HCES,2024,1,1,12,5,1,154550
HCES,2024,1,1,12,5,2,154550
HCES,2024,1,1,12,5,1,125045
HCES,2024,1,1,12,5,2,125045
HCES,2024,1,1,12,5,3,125045
HCES,2024,1,1,12,5,4,125045
HCES,2024,1,1,12,5,5,125045
HCES,2024,1,1,12,5,6,125045
HCES,2024,1,1,12,5,7,125045
HCES,2024,1,1,12,5,8,125045
HCES,2024,1,1,12,5,9,125045
HCES,2024,1,1,12,5,10,125045
HCES,2024,1,1,12,5,11,125045
HCES,2024,1,1,12,5,12,125045
HCES,2024,1,1,12,5,13,125045
HCES,2024,1,1,12,5,14,125045
HCES,2024,1,1,12,5,15,125045
HCES,2024,1,1,12,5,16,125045
HCES,2024,1,1,11,21,1,160571
HCES,2024,1,1,11,21,1,140500
HCES,2024,1,1,11,21,1,224800
HCES,2024,1,1,11,21,2,224800
HCES,2024,1,1,11,21,3,224800
HCES,2024,1,1,11,21,4,224800
HCES,2024,1,1,11,21,5,224800
HCES,2024,1,1,11,21,6,224800
HCES,2024,1,1,11,21,7,224800
HCES,2024,1,1,11,21,8,224800
HCES,2024,1,1,11,21,9,224800
HCES,2024,1,1,11,21,10,224800
HCES,2024,1,1,11,21,11,224800
HCES,2024,1,1,11,21,12,224800
HCES,2024,1,1,11,21,13,224800
HCES,2024,1,1,11,21,14,224800
HCES,2024,1,1,11,21,15,224800
HCES,2024,1,1,11,21,16,224800
HCES,2024,1,1,12,5,1,89920
HCES,2024,1,1,12,5,2,89920
HCES,2024,1,1,12,5,3,89920
HCES,2024,1,1,12,5,4,89920
HCES,2024,1,1,12,5,5,89920
HCES,2024,1,1,12,5,6,89920
HCES,2024,1,1,12,5,7,89920
HCES,2024,1,1,12,5,8,89920
HCES,2024,1,1,12,5,9,89920
HCES,2024,1,1,12,5,10,89920
HCES,2024,1,1,12,5,11,89920
HCES,2024,1,1,12,5,12,89920
HCES,2024,1,1,12,5,13,89920
HCES,2024,1,1,12,5,14,89920
HCES,2024,1,1,12,5,15,89920
HCES,2024,1,1,12,5,16,89920
HCES,2024,1,1,12,5,17,89920
HCES,2024,1,1,12,5,18,89920
HCES,2024,1,1,11,7,1,256914
HCES,2024,1,1,11,7,1,168600
HCES,2024,1,1,11,7,1,141905
HCES,2024,1,1,11,7,2,141905
HCES,2024,1,1,11,7,3,141905
HCES,2024,1,1,11,7,4,141905
HCES,2024,1,1,11,7,5,141905
HCES,2024,1,1,11,7,6,141905
HCES,2024,1,1,11,7,7,141905
HCES,2024,1,1,11,7,8,141905
HCES,2024,1,1,11,7,9,141905
HCES,2024,1,1,11,7,10,141905
HCES,2024,1,1,11,7,11,141905
HCES,2024,1,1,11,7,12,141905
HCES,2024,1,1,11,7,13,141905
HCES,2024,1,1,11,7,14,141905
HCES,2024,1,1,11,7,15,141905
HCES,2024,1,1,11,7,16,141905
HCES,2024,1,1,11,21,1,160571
HCES,2024,1,1,11,21,1,84300
HCES,2024,1,1,11,21,2,84300
HCES,2024,1,1,11,21,1,83925
HCES,2024,1,1,11,21,2,83925
HCES,2024,1,1,11,21,3,83925
HCES,2024,1,1,11,21,4,83925
HCES,2024,1,1,11,21,5,83925
HCES,2024,1,1,11,21,6,83925
HCES,2024,1,1,11,21,7,83925
HCES,2024,1,1,11,21,8,83925
HCES,2024,1,1,11,21,9,83925
HCES,2024,1,1,11,21,10,83925
HCES,2024,1,1,11,21,11,83925
HCES,2024,1,1,11,21,12,83925
HCES,2024,1,1,11,21,13,83925
HCES,2024,1,1,11,21,14,83925
HCES,2024,1,1,11,21,15,83925
HCES,2024,1,1,11,21,1,182650
HCES,2024,1,1,11,21,2,182650
HCES,2024,1,1,11,21,1,123640
HCES,2024,1,1,11,21,2,123640
HCES,2024,1,1,11,21,3,123640
HCES,2024,1,1,11,21,4,123640
HCES,2024,1,1,11,21,5,123640
HCES,2024,1,1,11,21,6,123640
HCES,2024,1,1,11,21,7,123640
HCES,2024,1,1,11,21,8,123640
HCES,2024,1,1,11,21,9,123640
HCES,2024,1,1,11,21,10,123640
HCES,2024,1,1,11,21,11,123640
HCES,2024,1,1,11,21,12,123640
HCES,2024,1,1,11,21,13,123640
HCES,2024,1,1,11,21,14,123640
HCES,2024,1,1,11,21,15,123640
HCES,2024,1,1,11,21,16,123640
HCES,2024,1,1,11,7,1,28100
HCES,2024,1,1,11,7,1,22480
HCES,2024,1,1,11,7,2,22480
HCES,2024,1,1,11,7,3,22480
HCES,2024,1,1,11,7,4,22480
HCES,2024,1,1,11,7,5,22480
HCES,2024,1,1,11,7,6,22480
HCES,2024,1,1,11,7,7,22480
HCES,2024,1,1,11,7,8,22480
HCES,2024,1,1,11,7,9,22480
HCES,2024,1,1,11,7,10,22480
HCES,2024,1,1,11,7,11,22480
HCES,2024,1,1,11,7,12,22480
HCES,2024,1,1,11,7,13,22480
HCES,2024,1,1,11,7,14,22480
HCES,2024,1,1,11,7,15,22480
HCES,2024,1,1,11,7,16,22480
HCES,2024,1,1,11,7,17,22480
HCES,2024,1,1,12,6,1,129840
HCES,2024,1,1,12,6,2,129840
HCES,2024,1,1,12,6,3,129840
HCES,2024,1,1,12,6,1,95216
HCES,2024,1,1,12,6,2,95216
HCES,2024,1,1,12,6,3,95216
HCES,2024,1,1,12,6,4,95216
HCES,2024,1,1,12,6,5,95216
HCES,2024,1,1,12,6,6,95216
HCES,2024,1,1,12,6,7,95216
HCES,2024,1,1,12,6,8,95216
HCES,2024,1,1,12,6,9,95216
HCES,2024,1,1,12,6,10,95216
HCES,2024,1,1,12,6,11,95216
HCES,2024,1,1,12,6,12,95216
HCES,2024,1,1,12,6,13,95216
HCES,2024,1,1,12,6,14,95216
HCES,2024,1,1,12,6,15,95216
HCES,2024,1,1,12,6,1,162300
HCES,2024,1,1,12,6,2,162300
HCES,2024,1,1,12,6,1,115413
HCES,2024,1,1,12,6,2,115413
HCES,2024,1,1,12,6,3,115413
HCES,2024,1,1,12,6,4,115413
HCES,2024,1,1,12,6,5,115413
HCES,2024,1,1,12,6,6,115413
HCES,2024,1,1,12,6,1,79527
HCES,2024,1,1,12,6,2,79527
HCES,2024,1,1,12,6,3,79527
HCES,2024,1,1,12,6,4,79527
HCES,2024,1,1,12,6,5,79527
HCES,2024,1,1,12,6,6,79527
HCES,2024,1,1,12,6,7,79527
HCES,2024,1,1,12,6,8,79527
HCES,2024,1,1,12,6,9,79527
HCES,2024,1,1,12,6,10,79527
HCES,2024,1,1,11,7,1,454440
HCES,2024,1,1,11,7,1,231039
HCES,2024,1,1,11,7,2,231039
HCES,2024,1,1,11,7,3,231039
HCES,2024,1,1,11,7,4,231039
HCES,2024,1,1,11,7,5,231039
HCES,2024,1,1,11,7,6,231039
HCES,2024,1,1,11,7,7,231039
HCES,2024,1,1,11,7,8,231039
HCES,2024,1,1,11,7,9,231039
HCES,2024,1,1,11,7,10,231039
HCES,2024,1,1,11,7,11,231039
HCES,2024,1,1,11,7,12,231039
HCES,2024,1,1,11,7,13,231039
HCES,2024,1,1,11,7,14,231039
HCES,2024,1,1,11,7,15,231039
HCES,2024,1,1,11,7,16,231039
HCES,2024,1,1,11,7,17,231039
HCES,2024,1,1,12,6,1,86560
HCES,2024,1,1,12,6,2,86560
HCES,2024,1,1,12,6,3,86560
HCES,2024,1,1,12,6,4,86560
HCES,2024,1,1,12,6,5,86560
HCES,2024,1,1,12,6,6,86560
HCES,2024,1,1,12,6,7,86560
HCES,2024,1,1,12,6,8,86560
HCES,2024,1,1,12,6,9,86560
HCES,2024,1,1,12,6,10,86560
HCES,2024,1,1,12,6,11,86560
HCES,2024,1,1,12,6,12,86560
HCES,2024,1,1,12,6,13,86560
HCES,2024,1,1,12,6,14,86560
HCES,2024,1,1,12,6,15,86560
HCES,2024,1,1,12,6,16,86560
HCES,2024,1,1,12,6,17,86560
HCES,2024,1,1,12,6,18,86560
HCES,2024,1,1,12,5,1,126233
HCES,2024,1,1,12,5,2,126233
HCES,2024,1,1,12,5,3,126233
HCES,2024,1,1,12,5,4,126233
HCES,2024,1,1,12,5,5,126233
HCES,2024,1,1,12,5,6,126233
HCES,2024,1,1,12,5,7,126233
HCES,2024,1,1,12,5,8,126233
HCES,2024,1,1,12,5,9,126233
HCES,2024,1,1,12,5,10,126233
HCES,2024,1,1,12,5,11,126233
HCES,2024,1,1,12,5,12,126233
HCES,2024,1,1,12,5,13,126233
HCES,2024,1,1,12,5,14,126233
HCES,2024,1,1,12,5,15,126233
HCES,2024,1,1,12,5,16,126233
HCES,2024,1,1,12,5,17,126233
HCES,2024,1,1,12,5,18,126233
HCES,2024,1,1,12,5,1,132781
HCES,2024,1,1,12,5,1,101167
HCES,2024,1,1,12,5,2,101167
HCES,2024,1,1,12,5,3,101167
