Survey_Name,Year,Sector,State_Code,District_Code,Household_ID,Item_Code,Expenditure_Type,Value
HCES,2024,1,5,6,1,7,2,57986
HCES,2024,1,5,6,2,7,2,57986
HCES,2024,1,5,6,3,7,2,57986
HCES,2024,1,5,6,4,7,2,57986
HCES,2024,1,5,6,5,7,2,57986
HCES,2024,1,5,6,6,7,2,57986
HCES,2024,1,5,6,7,7,2,57986
HCES,2024,1,5,6,8,7,2,57986
HCES,2024,1,5,6,9,7,2,57986
HCES,2024,1,5,6,10,7,2,57986
HCES,2024,1,5,6,11,7,2,57986
HCES,2024,1,5,6,12,7,2,57986
HCES,2024,1,5,6,13,7,2,57986
HCES,2024,1,5,6,14,7,2,57986
HCES,2024,1,5,6,15,7,2,57986
HCES,2024,1,5,6,16,7,2,57986
HCES,2024,1,5,6,17,7,2,57986
HCES,2024,1,5,6,18,7,2,57986
HCES,2024,1,5,3,1,7,2,176478
HCES,2024,1,5,3,2,7,2,176478
HCES,2024,1,5,3,3,7,2,176478
HCES,2024,1,5,3,4,7,2,176478
HCES,2024,1,5,3,5,7,2,176478
HCES,2024,1,5,3,6,7,2,176478
HCES,2024,1,5,3,7,7,2,176478
HCES,2024,1,5,3,8,7,2,176478
HCES,2024,1,5,3,9,7,2,176478
HCES,2024,1,5,3,10,7,2,176478
HCES,2024,1,5,3,11,7,2,176478
HCES,2024,1,5,3,12,7,2,176478
HCES,2024,1,5,3,13,7,2,176478
HCES,2024,1,5,3,14,7,2,176478
HCES,2024,1,5,3,15,7,2,176478
HCES,2024,1,5,3,16,7,2,176478
HCES,2024,1,5,3,17,7,2,176478
HCES,2024,1,5,3,18,7,2,176478
HCES,2024,1,5,6,1,7,2,45380
HCES,2024,1,5,6,2,7,2,45380
HCES,2024,1,5,6,3,7,2,45380
HCES,2024,1,5,6,4,7,2,45380
HCES,2024,1,5,6,5,7,2,45380
HCES,2024,1,5,6,6,7,2,45380
HCES,2024,1,5,6,7,7,2,45380
HCES,2024,1,5,6,8,7,2,45380
HCES,2024,1,5,6,9,7,2,45380
HCES,2024,1,5,6,10,7,2,45380
HCES,2024,1,5,6,11,7,2,45380
HCES,2024,1,5,6,12,7,2,45380
HCES,2024,1,5,6,13,7,2,45380
HCES,2024,1,5,6,14,7,2,45380
HCES,2024,1,5,1,1,7,2,121013
HCES,2024,1,5,1,2,7,2,121013
HCES,2024,1,5,1,3,7,2,121013
HCES,2024,1,5,1,4,7,2,121013
HCES,2024,1,5,1,5,7,2,121013
HCES,2024,1,5,1,6,7,2,121013
HCES,2024,1,5,1,1,7,2,127889
HCES,2024,1,5,1,2,7,2,127889
HCES,2024,1,5,1,3,7,2,127889
HCES,2024,1,5,1,4,7,2,127889
HCES,2024,1,5,1,5,7,2,127889
HCES,2024,1,5,1,6,7,2,127889
HCES,2024,1,5,1,7,7,2,127889
HCES,2024,1,5,1,8,7,2,127889
HCES,2024,1,5,1,9,7,2,127889
HCES,2024,1,5,1,10,7,2,127889
HCES,2024,1,5,1,12,7,2,127889
HCES,2024,1,5,6,1,7,2,45380
HCES,2024,1,5,6,1,7,2,80082
HCES,2024,1,5,6,2,7,2,80082
HCES,2024,1,5,6,3,7,2,80082
HCES,2024,1,5,6,4,7,2,80082
HCES,2024,1,5,6,5,7,2,80082
HCES,2024,1,5,6,6,7,2,80082
HCES,2024,1,5,6,7,7,2,80082
HCES,2024,1,5,6,8,7,2,80082
HCES,2024,1,5,6,9,7,2,80082
HCES,2024,1,5,6,10,7,2,80082
HCES,2024,1,5,6,11,7,2,80082
HCES,2024,1,5,6,12,7,2,80082
HCES,2024,1,5,6,13,7,2,80082
HCES,2024,1,5,6,14,7,2,80082
HCES,2024,1,5,6,15,7,2,80082
HCES,2024,1,5,6,16,7,2,80082
HCES,2024,1,5,6,17,7,2,80082
HCES,2024,1,5,6,1,7,2,45380
HCES,2024,1,5,6,2,7,2,45380
HCES,2024,1,5,3,1,7,2,45380
HCES,2024,1,5,3,2,7,2,45380
HCES,2024,1,5,3,3,7,2,45380
HCES,2024,1,5,3,4,7,2,45380
HCES,2024,1,5,3,5,7,1,45380
HCES,2024,1,5,3,6,7,2,45380
HCES,2024,1,5,3,7,7,2,45380
HCES,2024,1,5,3,8,7,2,45380
HCES,2024,1,5,3,9,7,1,45380
HCES,2024,1,5,3,10,7,2,45380
HCES,2024,1,5,3,11,7,2,45380
HCES,2024,1,5,3,12,7,2,45380
HCES,2024,1,5,3,13,7,2,45380
HCES,2024,1,5,4,1,7,2,45380
HCES,2024,1,5,4,1,7,2,45380
HCES,2024,1,5,4,2,7,2,45380
HCES,2024,1,5,4,3,7,2,45380
HCES,2024,1,5,4,4,7,2,45380
HCES,2024,1,5,6,1,7,2,48405
HCES,2024,1,5,6,2,7,2,48405
HCES,2024,1,5,6,3,7,2,48405
HCES,2024,1,5,6,4,7,2,48405
HCES,2024,1,5,6,5,7,2,48405
HCES,2024,1,5,6,6,7,2,48405
HCES,2024,1,5,6,7,7,2,48405
HCES,2024,1,5,6,9,7,2,48405
HCES,2024,1,5,6,10,7,2,48405
HCES,2024,1,5,6,11,7,2,48405
HCES,2024,1,5,6,12,7,2,48405
HCES,2024,1,5,6,13,7,2,48405
HCES,2024,1,5,6,14,7,2,48405
HCES,2024,1,5,6,15,7,2,48405
HCES,2024,1,5,6,16,7,2,48405
HCES,2024,1,5,6,1,7,2,76111
HCES,2024,1,5,6,2,7,2,76111
HCES,2024,1,5,6,1,7,2,137000
HCES,2024,1,5,6,1,7,2,89050
HCES,2024,1,5,6,2,7,2,89050
HCES,2024,1,5,6,3,7,2,89050
HCES,2024,1,5,6,4,7,2,89050
HCES,2024,1,5,6,5,7,2,89050
HCES,2024,1,5,6,6,7,2,89050
HCES,2024,1,5,6,7,7,2,89050
HCES,2024,1,5,6,8,7,2,89050
HCES,2024,1,5,6,9,7,2,89050
HCES,2024,1,5,6,10,7,2,89050
HCES,2024,1,5,6,11,7,2,89050
HCES,2024,1,5,6,12,7,2,89050
HCES,2024,1,5,6,13,7,2,89050
HCES,2024,1,5,6,14,7,2,89050
HCES,2024,1,5,6,15,7,2,89050
HCES,2024,1,5,3,1,7,2,68500
HCES,2024,1,5,3,2,7,2,68500
HCES,2024,1,5,3,3,7,2,68500
HCES,2024,1,5,3,4,7,2,68500
HCES,2024,1,5,3,5,7,2,68500
HCES,2024,1,5,3,6,7,2,68500
HCES,2024,1,5,3,7,7,2,68500
HCES,2024,1,5,3,8,7,2,68500
HCES,2024,1,5,3,9,7,2,68500
HCES,2024,1,5,3,10,7,2,68500
HCES,2024,1,5,3,11,7,2,68500
HCES,2024,1,5,3,12,7,2,68500
HCES,2024,1,5,3,13,7,2,68500
HCES,2024,1,5,3,14,7,2,68500
HCES,2024,1,5,3,15,7,2,68500
HCES,2024,1,5,3,16,7,2,68500
HCES,2024,1,5,3,17,7,2,68500
HCES,2024,1,5,3,18,7,2,68500
HCES,2024,1,5,2,1,7,2,121778
HCES,2024,1,5,2,2,7,2,121778
HCES,2024,1,5,2,3,7,2,121778
HCES,2024,1,5,2,1,7,2,76492
HCES,2024,1,5,2,2,7,2,76492
HCES,2024,1,5,2,3,7,2,76492
HCES,2024,1,5,2,4,7,2,76492
HCES,2024,1,5,2,5,7,2,76492
HCES,2024,1,5,2,6,7,2,76492
HCES,2024,1,5,2,7,7,2,76492
HCES,2024,1,5,2,8,7,2,76492
HCES,2024,1,5,2,9,7,2,76492
HCES,2024,1,5,2,10,7,2,76492
HCES,2024,1,5,2,11,7,2,76492
HCES,2024,1,5,2,12,7,2,76492
HCES,2024,1,5,2,13,7,2,76492
HCES,2024,1,5,2,14,7,2,76492
HCES,2024,1,5,2,15,7,2,76492
HCES,2024,1,5,4,1,7,2,68500
HCES,2024,1,5,4,1,7,2,35257
HCES,2024,1,5,4,2,7,2,35257
HCES,2024,1,5,4,3,7,2,35257
HCES,2024,1,5,4,4,7,2,35257
HCES,2024,1,5,4,5,7,2,35257
HCES,2024,1,5,4,6,7,2,35257
HCES,2024,1,5,4,7,7,2,35257
HCES,2024,1,5,4,8,7,2,35257
HCES,2024,1,5,4,9,7,2,35257
HCES,2024,1,5,4,10,7,2,35257
HCES,2024,1,5,4,11,7,2,35257
HCES,2024,1,5,4,12,7,2,35257
HCES,2024,1,5,4,13,7,2,35257
HCES,2024,1,5,4,14,7,2,35257
HCES,2024,1,5,4,15,7,2,35257
HCES,2024,1,5,4,16,7,2,35257
HCES,2024,1,5,4,17,7,2,35257
HCES,2024,1,5,2,1,7,2,76111
HCES,2024,1,5,2,2,7,2,76111
HCES,2024,1,5,2,3,7,2,76111
HCES,2024,1,5,2,4,7,2,76111
HCES,2024,1,5,2,5,7,2,76111
HCES,2024,1,5,2,6,7,2,76111
HCES,2024,1,5,2,7,7,2,76111
HCES,2024,1,5,2,8,7,2,76111
HCES,2024,1,5,2,9,7,2,76111
HCES,2024,1,5,2,10,7,2,76111
HCES,2024,1,5,2,11,7,2,76111
HCES,2024,1,5,2,12,7,2,76111
HCES,2024,1,5,2,13,7,2,76111
HCES,2024,1,5,2,14,7,2,76111
HCES,2024,1,5,2,15,7,2,76111
HCES,2024,1,5,2,16,7,2,76111
HCES,2024,1,5,2,17,7,2,76111
HCES,2024,1,5,2,18,7,2,76111
HCES,2024,1,5,2,1,7,2,57083
HCES,2024,1,5,2,1,7,2,102750
HCES,2024,1,5,2,2,7,2,102750
HCES,2024,1,5,2,3,7,2,102750
HCES,2024,1,5,2,4,7,2,102750
HCES,2024,1,5,2,5,7,2,102750
HCES,2024,1,5,2,6,7,2,102750
HCES,2024,1,5,2,7,7,2,102750
HCES,2024,1,5,2,8,7,2,102750
HCES,2024,1,5,2,9,7,2,102750
HCES,2024,1,5,2,10,7,2,102750
HCES,2024,1,5,2,11,7,2,102750
HCES,2024,1,5,2,12,7,2,102750
HCES,2024,1,5,2,13,7,2,102750
HCES,2024,1,5,2,14,7,2,102750
HCES,2024,1,5,2,15,7,2,102750
HCES,2024,1,5,2,16,7,2,102750
HCES,2024,1,5,2,17,7,2,102750
HCES,2024,1,5,4,1,7,2,79917
HCES,2024,1,5,4,2,7,2,79917
HCES,2024,1,5,4,1,7,2,75350
HCES,2024,1,5,4,2,7,2,75350
HCES,2024,1,5,4,3,7,2,75350
HCES,2024,1,5,4,4,7,2,75350
HCES,2024,1,5,4,5,7,2,75350
HCES,2024,1,5,4,6,7,2,75350
HCES,2024,1,5,4,7,7,2,75350
HCES,2024,1,5,4,8,7,2,75350
HCES,2024,1,5,4,9,7,2,75350
HCES,2024,1,5,4,10,7,2,75350
HCES,2024,1,5,4,11,7,2,75350
HCES,2024,1,5,4,13,7,2,75350
HCES,2024,1,5,4,14,7,2,75350
HCES,2024,1,5,4,15,7,2,75350
HCES,2024,1,5,4,16,7,2,75350
HCES,2024,1,5,4,1,7,2,53278
HCES,2024,1,5,4,2,7,2,53278
HCES,2024,1,5,4,3,7,2,53278
HCES,2024,1,5,4,1,7,2,46808
HCES,2024,1,5,4,2,7,2,46808
HCES,2024,1,5,4,3,7,2,46808
HCES,2024,1,5,4,4,7,2,46808
HCES,2024,1,5,4,5,7,2,46808
HCES,2024,1,5,4,6,7,2,46808
HCES,2024,1,5,4,7,7,2,46808
HCES,2024,1,5,4,8,7,2,46808
HCES,2024,1,5,4,9,7,2,46808
HCES,2024,1,5,4,10,7,2,46808
HCES,2024,1,5,4,11,7,2,46808
HCES,2024,1,5,4,12,7,2,46808
HCES,2024,1,5,4,13,7,2,46808
HCES,2024,1,5,4,14,7,2,46808
HCES,2024,1,5,4,15,7,2,46808
HCES,2024,1,5,3,1,7,2,71711
HCES,2024,1,5,3,2,7,2,71711
HCES,2024,1,5,3,3,7,2,71711
HCES,2024,1,5,3,4,7,2,71711
HCES,2024,1,5,3,5,7,2,71711
HCES,2024,1,5,3,7,7,2,71711
HCES,2024,1,5,3,8,7,2,71711
HCES,2024,1,5,3,9,7,2,71711
HCES,2024,1,5,3,10,7,2,71711
HCES,2024,1,5,3,11,7,2,71711
HCES,2024,1,5,3,12,7,2,71711
HCES,2024,1,5,3,13,7,2,71711
HCES,2024,1,5,3,15,7,2,71711
HCES,2024,1,5,3,16,7,2,71711
HCES,2024,1,5,3,17,7,2,71711
HCES,2024,1,5,3,18,7,2,71711
HCES,2024,1,5,1,1,7,2,92047
HCES,2024,1,5,1,2,7,2,92047
HCES,2024,1,5,1,3,7,2,92047
HCES,2024,1,5,1,4,7,2,92047
HCES,2024,1,5,1,5,7,2,92047
HCES,2024,1,5,1,6,7,2,92047
HCES,2024,1,5,1,7,7,2,92047
HCES,2024,1,5,1,8,7,2,92047
HCES,2024,1,5,1,9,7,2,92047
HCES,2024,1,5,1,11,7,2,92047
HCES,2024,1,5,1,12,7,2,92047
HCES,2024,1,5,1,14,7,2,92047
HCES,2024,1,5,1,15,7,2,92047
HCES,2024,1,5,1,16,7,2,92047
HCES,2024,1,5,1,17,7,2,92047
HCES,2024,1,5,1,18,7,2,92047
HCES,2024,1,5,4,1,7,2,74208
